Symbol,Company Name,Industry,MarketCap_Cr
HCC,Hindustan Construction Co. Ltd.,Construction,5972
HCG,Healthcare Global Enterprises Ltd.,Healthcare,9473
HEG,H.E.G. Ltd.,Capital Goods,10163
HEMIPROP,Hemisphere Properties India Ltd.,Services,3871
HERITGFOOD,Heritage Foods Ltd.,Fast Moving Consumer Goods,3042
HGINFRA,H.G. Infra Engineering Ltd.,Construction,3583
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,12541
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,15245
ICIL,Indo Count Industries Ltd.,Textiles,8144
IEX,Indian Energy Exchange Ltd.,Financial Services,10393
IFBIND,IFB Industries Ltd.,Consumer Durables,5096
IFCI,IFCI Ltd.,Financial Services,19911
IGIL,International Gemological Institute Ltd.,Services,14596
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,21017
IIFL,IIFL Finance Ltd.,Financial Services,22021
IIFLCAPS,IIFL Capital Services Ltd.,Financial Services,10601
IMFA,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,7251
INDGN,Indegene Ltd.,Healthcare,11893
INDIACEM,India Cements Ltd.,Construction Materials,17267
INDIAGLYCO,India Glycols Ltd.,Fast Moving Consumer Goods,6957
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,11441
INDIASHLTR,India Shelter Finance Corporation Ltd.,Financial Services,8444
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,5007
INOXGREEN,Inox Green Energy Services Ltd.,Services,7863
INOXINDIA,INOX India Ltd.,Capital Goods,17026
INOXWIND,Inox Wind Ltd.,Capital Goods,14296
INTELLECT,Intellect Design Arena Ltd.,Information Technology,10440
IONEXCHANG,Ion Exchange (India) Ltd.,Utilities,4880
IRB,IRB Infrastructure Developers Ltd.,Construction,24120
IRCON,IRCON International Ltd.,Construction,12133
IXIGO,Le Travenues Technology Ltd.,Consumer Services,8792
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,18275
JAIBALAJI,Jai Balaji Industries Ltd.,Metals & Mining,6046
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,11904
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components,5294
JAYNECOIND,Jayaswal Neco Industries Ltd.,Capital Goods,8342
JBMA,JBM Auto Ltd.,Automobile and Auto Components,15641
JINDALSAW,Jindal Saw Ltd.,Capital Goods,16556
JKLAKSHMI,JK Lakshmi Cement Ltd.,Construction Materials,7039
JKPAPER,JK Paper Ltd.,Forest Materials,6426
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,11447
JLHL,Jupiter Life Line Hospitals Ltd.,Healthcare,9464
JMFINANCIL,JM Financial Ltd.,Financial Services,11956
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,11582
JSFB,Jana Small Finance Bank Ltd.,Financial Services,4648
JSLL,Jeena Sikho Lifecare Ltd.,Consumer Services,7004
JSWCEMENT,JSW Cement Ltd.,Construction Materials,18030
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,13853
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,10737
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,15375
JUSTDIAL,Justdial Ltd.,Consumer Services,4597
JWL,Jupiter Wagons Ltd.,Capital Goods,10637
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods,6945
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,17140
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,19010
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,16500
KAYNES,Kaynes Technology India Ltd.,Capital Goods,21523
KEC,Kec International Ltd.,Construction,12963
KFINTECH,Kfin Technologies Ltd.,Financial Services,14655
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods,14722
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods,11337
KITEX,Kitex Garments Ltd.,Textiles,3019
